STA_SEQ,SampleYear,MaxOfFishPer100M,YearGrp
15516,2014,121.5827338,G3
16677,2014,12,G3
15240,2014,14.34782609,G3
16015,2014,10.76923077,G3
16583,2014,8.421052632,G3
15783,2014,13,G3
16581,2014,0,G3
15543,2014,35.71428571,G3
15711,2014,18.51851852,G3
16192,2014,68.66666667,G3
15304,2014,10.67961165,G3
16416,2014,47.12535344,G3
16387,2014,15.2866242,G3
16288,2014,0,G3
16298,2014,0,G3
16381,2014,38.35616438,G3
15839,2014,0,G3
16299,2014,6.060606061,G3
15520,2014,75,G3
16679,2014,0,G3
15210,2014,4,G3
15990,2014,21.77700348,G3
18735,2015,18,G3
16125,2015,66,G3
16565,2015,0,G3
17271,2015,13,G3
17092,2015,42,G3
15839,2015,0,G3
15519,2015,1,G3
16498,2015,0,G3
14842,2015,30,G3
15516,2015,97.24770642,G3
17193,2015,9.230769231,G3
16857,2015,9.87654321,G3
15499,2015,86.66666667,G3
17398,2015,41,G3
15796,2015,9.565217391,G3
17936,2015,8.860759494,G3
15512,2015,62,G3
17167,2015,6.666666667,G3
16126,2015,45,G3
15991,2015,78.57142857,G3
15680,2015,36,G3
14720,2015,23,G3
16758,2015,39.13043478,G3
16122,2015,38,G3
17147,2015,92.1875,G3
17852,2015,4,G3
16843,2015,33.60655738,G3
17850,2015,4.901960784,G3
16610,2015,2.97029703,G3
16921,2015,4,G3
16607,2015,0,G3
16599,2015,0,G3
16928,2015,0,G3
18782,2015,6,G3
16933,2015,100,G3
14500,2015,0,G3
16944,2015,0,G3
16693,2015,23.30097087,G3
18736,2015,21,G3
16191,2015,50,G3
16696,2015,15,G3
17179,2015,5.084745763,G3
17816,2015,19,G3
16972,2015,27,G3
16046,2015,101.25,G3
17187,2016,0,G3
17133,2016,30,G3
14470,2016,4.347826087,G3
17398,2016,99,G3
18625,2016,117.8217822,G3
16111,2016,25,G3
17917,2016,15.15151515,G3
16110,2016,121.4285714,G3
15529,2016,2.631578947,G3
17215,2016,13,G3
16124,2016,12,G3
16127,2016,30,G3
16276,2016,0,G3
14212,2016,17.1875,G3
18736,2016,44,G3
18735,2016,67,G3
16548,2016,14,G3
14880,2016,103.3898305,G3
18791,2016,0,G3
15240,2016,0,G3
16787,2016,7,G3
16692,2016,0,G3
15315,2016,17.34693878,G3
16809,2016,14,G3
15035,2016,21.77419355,G3
16699,2016,5.825242718,G3
14209,2016,0.8,G3
16714,2016,10,G3
19733,2016,6,G3
16726,2016,30,G3
16862,2016,27.69230769,G3
14740,2016,12,G3
14355,2016,105.2631579,G3
14741,2016,99.01960784,G3
17167,2016,24.66666667,G3
15505,2016,189.3333333,G3
14813,2016,40.74074074,G3
17157,2016,0,G3
16431,2016,263.2075472,G3
16114,2016,12,G3
17134,2016,1.818181818,G3
16502,2016,37.86407767,G3
17130,2016,0,G3
17120,2016,0,G3
17088,2016,70.90909091,G3
15839,2016,0.666666667,G3
17035,2016,24,G3
15839,2017,32.66666667,G3
16089,2017,27.10280374,G3
15964,2017,81.13207547,G3
16080,2017,10.32608696,G3
18791,2017,19.60784314,G3
14840,2017,20.90909091,G3
16761,2017,40,G3
15171,2017,20,G3
15046,2017,126.1261261,G3
16692,2017,0,G3
16863,2017,18.0952381,G3
16926,2017,2,G3
16583,2017,0,G3
15001,2017,5,G3
16965,2017,1.666666667,G3
14863,2017,4.516129032,G3
16539,2017,55,G3
17014,2017,18.75,G3
16316,2017,12.26415094,G3
17112,2017,0,G3
15516,2017,36.95652174,G3
17167,2017,6,G3
19733,2017,18,G3
16331,2017,5.555555556,G3
17186,2017,1.333333333,G3
17187,2017,12.66666667,G3
14551,2017,16,G3
15406,2017,41.17647059,G3
16124,2018,1.666666667,G3
15730,2018,2,G3
16697,2018,29.56521739,G3
16127,2018,30,G3
16110,2018,140.9448819,G3
16135,2018,65,G3
15499,2018,160.6666667,G3
15796,2018,11,G3
15315,2018,7.692307692,G3
14355,2018,1.694915254,G3
14470,2018,5,G3
15274,2018,1,G3
