STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
15579,Hitchcock Mill Brook,3,2.387918541,0.984624215,1,0,3027,2290,0,0.756524612,7.833908786,0.024289955,0,0,0,0,0.418774754,1,1,3,1,6,2,1,0.088
17403,Potash Brook,2,2.123575,1.079673,0,0,3105,607,0,0.195491143,7.786149982,0.027081916,0,0,0,0,0,1,1,1,1,4,1,1,0.166
16110,Mott Hill Brook,2,4.49,2.81,0,0,8117,2591,0,0.319206603,7.473309609,0.084734999,0,0,0,0,0,1,1,1,1,4,1,1,0.389
16688,GEROW BROOK,2,4.834535373,2.436596096,0,0,7008,4797,0,0.684503425,7.383811469,0.070834827,0,0,0,0,0,1,1,1,1,4,1,1,0.168
16132,Meetinghouse Brook,3,6.768686,4.275791,0,8.63,12309,344451,0,27.98367049,7.155260863,0.138004086,13.35258325,0,96.7549849,0,0,3,3,1,1,8,2,1,0.351
17000,Red Brook,3,6.90883,2.431034,1,0,6987,21732,0,3.110348,7.141719,0.069462,0,0,0,0,0.144742,2,1,3,1,7,2,1,0.152
18625,HOPP BROOK,2,6.563129083,2.913688001,1,3.2,8674,15612,0,1.799861656,7.107908593,0.086338135,4.95113168,0,57.34582612,0,0.152366347,1,3,3,1,8,2,1,0.234
15046,Charters Brook,4,21.58,8.546131,0,0,25289,23480,0,0.928466922,7.100320866,0.318676561,0,0,0,0,0,1,1,1,1,4,1,1,0.265
16072,Trading Cove Brook,3,16.048288,5.230998,1,0,15040,15795,0,1.050199468,7.076205288,0.175298411,0,0,0,0,0.062311943,1,1,2,1,5,1,1,0.181
14592,Fenton River,4,90.92598,27.624054,3,0,79488,112931,0,1.420730173,7.060993097,1.320507118,0,0,0,0,0.03299387,1,1,2,1,5,1,1,0.246
17852,Shady Oak School House Brook,2,2.327379,1.202768,0,0,3462,2483,0,0.717215482,7.037603672,0.029342471,0,0,0,0,0,1,1,1,1,4,1,1,0.312
14741,Titicus River,3,8.411882014,5.028667322,2,0,14459,60385,0,4.176291583,6.837741274,0.164240206,0,0,0,0,0.237758922,2,1,3,1,7,2,1,0.203
16300,Hop River,3,13.1484,8.16993,2,0,23514,58566,0,2.4906864,6.57125245,0.290184129,0,0,0,0,0.152109762,2,1,3,1,7,2,1,0.126
16159,East Branch Salmon Brook,2,2.55,1.2,0,0,3506,2692,0,0.767826583,6.347819008,0.027778957,0,0,0,0,0,1,1,1,1,4,1,1,0.112
