HydroID,NextDown,SqMi,CFcount,CF_1985,CF_1990,CF_1995,CF_2002,CF_2006,CF_2015,CF_2010
201495425,201495426,0.457647,1270,0.069291339,0.05984252,0.057480315,0.053543307,0.046456693,0.046456693,0.046456693
201485302,201485230,0.455562,1271,0.665617624,0.653815893,0.653029111,0.650668765,0.659323367,0.659323367,0.645948072
201487548,201487800,0.457299,1271,0,0,0,0,0,0,0
201489439,201489622,0.456952,1271,0.011801731,0.011801731,0.003147128,0.011801731,0.011801731,0.011801731,0.011801731
201490379,201490465,0.453825,1271,0.291896145,0.213217939,0.204563336,0.140047207,0.10700236,0.092840283,0.114870181
201494190,201494462,0.457995,1271,0.265145555,0.22895358,0.149488592,0.159716758,0.14870181,0.150275374,0.150275374
201494486,201494442,0.455909,1271,0.04563336,0.050354052,0.04956727,0.04956727,0.04956727,0.043273013,0.04956727
201494583,201494469,0.456951,1271,0.206923682,0.202989772,0.181746656,0.192761605,0.203776554,0.204563336,0.203776554
201494004,201493936,0.456952,1272,0.246855346,0.245283019,0.192610063,0.222484277,0.233490566,0.239779874,0.238993711
201488017,201488146,0.456257,1273,0.942655145,0.975648075,0.974862529,0.954438335,0.978004713,0.978004713,0.978004713
201492329,201492438,0.454867,1273,0.646504321,0.630793401,0.61743912,0.620581304,0.620581304,0.619010212,0.616653574
201494815,201494814,0.457299,1273,0.091908877,0.091908877,0.091908877,0.091908877,0.090337785,0.090337785,0.090337785
201495443,201495452,0.455909,1273,0.314218382,0.221523959,0.17674784,0.153181461,0.145326002,0.153181461,0.153181461
201496391,1,0.456952,1273,0,0,0,0,0,0,0
201482869,201482920,0.456604,1274,0.586342229,0.498430141,0.483516484,0.47566719,0.452904239,0.4144427,0.440345369
201487599,201487554,0.456257,1274,0.067503925,0.067503925,0.065934066,0.065149137,0.016483516,0.019623234,0.019623234
201493520,201493605,0.457994,1274,0.336734694,0.282574568,0.301412873,0.299058085,0.321036107,0.276295133,0.2433281
201488417,201488177,0.457647,1275,0.216470588,0.16,0.255686275,0.297254902,0.301176471,0.301176471,0.301176471
201489537,201489728,0.457299,1275,0.225882353,0.221176471,0.219607843,0.218039216,0.218039216,0.218039216,0.217254902
201492508,201492537,0.456952,1275,0.591372549,0.581960784,0.581960784,0.581960784,0.582745098,0.549803922,0.549019608
201493976,201493917,0.458342,1275,0.056470588,0.056470588,0.062745098,0.061176471,0.058823529,0.055686275,0.060392157
201488037,201487966,0.456604,1276,0.440438871,0.438871473,0.44984326,0.394200627,0.439655172,0.412225705,0.439655172
201491373,201491374,0.457994,1276,0.012539185,0.011755486,0.011755486,0.011755486,0.011755486,0.011755486,0.011755486
201491544,201491539,0.458342,1276,0.318965517,0.317398119,0.219435737,0.282131661,0.256269592,0.254702194,0.257053292
201492218,201492521,0.4573,1276,0,0,0,0,0,0,0
201494411,201494447,0.459383,1276,0.486677116,0.478840125,0.459247649,0.431034483,0.419278997,0.428683386,0.428683386
201489244,201489354,0.460427,1277,0.442443226,0.338292874,0.303054033,0.282693814,0.322631167,0.216131558,0.314800313
201491933,201491885,0.45869,1277,0.148786218,0.125293657,0.108848865,0.110415035,0.094753328,0.094753328,0.086922475
201495949,201495920,0.456952,1277,0.173844949,0.162881754,0.158966327,0.163664839,0.157400157,0.157400157,0.157400157
201496722,201496731,0.45869,1277,0.246671887,0.221613156,0.133907596,0.16523101,0.129209084,0.127642913,0.130775255
201486562,201486582,0.458342,1278,0.560250391,0.549295775,0.551643192,0.53599374,0.497652582,0.497652582,0.497652582
201487678,201487812,0.459037,1278,0.874804382,0.876369327,0.857589984,0.881846635,0.820031299,0.830203443,0.824726135
